,Job Title,Location,Date,Link,Job Attributes,Job Description
67,Residential Assistants SPED Youth Residential, (Concord northwest/merrimack ),Oct-21,https://boston.craigslist.org/nwb/npo/d/billerica-residential-assistants-sped/7397156920.html,"
compensation: $16.00 - 20.52 on up DOE and Ed.

employment type: full-time

","

QR Code Link to This Post


Staff members at The Guild's day and residential special education school and our adult residential services are guided by our core values of integrity, collaboration, excellence, diversity, and respect.   Our Mission is to Educate, Empower, and Encourage the individuals we serve. This is what we are about and if you have a passion for changing lives for the better...
______________________________________________________________________________
******************************************************************************
Locations: All youth residences in Bedford and Billerica Area

Summary: The primary duties of a residential assistant serving The Guild's special needs students are providing direct support to include helping with day-to-day tasks as well as activities that benefit lives and independent living skills by development/implementation of a comprehensive residential program for each of their assigned individuals.
Primary Job Responsibilities:
• Work as a member of a team to maintain a clean, safe, positive living environment for each individual who lives at the residence 
• Assist in the development and implementation of each individual’s residential IEP and daily activity schedule
• Attend and support individuals participating in all community experiences
• Implement positive behavior supports and individual behavior support plans for individuals who live in the home
• Assist in record keeping and report writing, as assigned
• Administer and record individuals’ medications, in compliance with MAP
• Transport individuals to school and other various locations using Guild vehicles
• Engage in the de-escalation of individuals
• Able to attend training as required.

Qualifications:
• A valid driver's license
• Massachusetts Criminal Offender Record Information (CORI) background check clearance
• Pass Guild Driving test to access Guild vehicles for transportations of individuals.
• Demonstrated evidence of mature judgment, good interpersonal skills, a desire to enrich individuals' lives and a willingness to learn from skilled professionals.
 https://www.guildhumanservices.org/about-guild/careers/job-listings/residential-assistant-youth "
68,Teen Parenting Program Family Advocate- Melrose," (Melrose, MA boston/cambridge/brookline )",Oct-21,https://boston.craigslist.org/gbs/npo/d/melrose-teen-parenting-program-family/7397152622.html,"
compensation: Centerboard offers competitive pay, benefits and time off.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Family Advocate – Melrose (Flexible afternoon, evening and overnight shifts available)

Centerboard is offering an opportunity to work in a supportive environment with flexible scheduling, full benefits with afternoon, weekend and overnight shifts available.  If you are looking for a second job or to get back into the workforce, change of career or have experience or a desire to work with children and teen moms please consider applying to Centerboard Teen Parenting Program.  This position offers paid training and participates in the Public Service Student Loan Forgiveness Program. 

 General Summary Family Advocate:

The primary focus of the Family Advocate is to provide support and services to the youth population served in a well-defined and coordinated manner. Each Family Advocate will work collaboratively to manage a case load of residential families. The Family Advocate will also be responsible as part of the team or while alone on shift, for the safety of all residents and the facility.
Essential Job Functions: 
•Research community based services and resources in the area that could be beneficial for residents and their children as needed. 
•Maintain and model healthy relationships and confidentiality with residents as well as coworkers. 
•Demonstrate the ability to manage through crisis situations with residents and their children in a timely and appropriate manner.
•Oversee each resident family’s participation in shared chore responsibility, assist and train where needed.
•Maintain awareness of physical facility maintenance and unit furnishings; report any concerns to Program Director or through existing documentation process. 
•Support incoming families with all immediate needs (i.e. food, clothing, hygiene products, medical appointments, etc.).
•Conduct intake with new residents including house tour and orientation, gathering of important resident information and documentation, fridge and cabinet location, daily check in and out procedures, chore responsibilities, location of important documents and memos, etc. 
•Provide comprehensive family life advocacy to include but not be limited to:
o	Assisting with benefit acquisition and use of benefits
o	Providing for and facilitating group workshops and skill building sessions in the areas of: parenting, budget and housing, family management, education/employment, independent living skills, life skills and nutrition. 
o	Facilitating housing search process: completing and sending out housing applications.

Qualified candidates, apply via the link below.

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a&selectedMenuKey=CareerCenter

"
69,Youth Counselor Group Home-Lynn, (Lynn boston/cambridge/brookline ),Oct-21,https://boston.craigslist.org/gbs/npo/d/lynn-youth-counselor-group-home-lynn/7397149805.html,"
compensation: Centerboard offers competitive pay, benefits and time off.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Full-Time and Part-Time Opportunities Available- Flexible afternoon, Evening, Weekend and Overnight Shifts

Centerboard is actively recruiting for youth counselors to work at our Adolescent Co-ed Program. This is an exciting opportunity for someone who is looking for a flexible work environment and enjoys working with youth. If you are looking for a second job or to get back into the workforce, change of career or a desire to work with youth in a non- office type of environment this is the job for you. If you have an outgoing personality, good customer service skills and want to work in a flexible environment while helping others please apply to the posting via the link below. This position offers competitive pay, comprehensive benefits, paid time off, paid training to qualified candidates. Centerboard participates in the Public Service Student Loan forgiveness Program.

Essential Functions:
•	Providing transportation, oversight and support with life skills to youth ages 13-18.
•	Managing shift requirements and documentation as needed.
•	Engage with youth in activities indoors and outdoors including opportunities to make connections with family and community members.
•	Motivate and support youth with daily activities, coping and barriers to tasks.
•	Ensure safety and wellbeing to every extent possible to program participants.
•	Abide by policies and procedures as required by licensing agencies.

Experience working with youth in group activities welcomed. A valid driver's license with an acceptable driving record is required. 

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a&selectedMenuKey=CareerCenter "
70,Youth Counselor Group Home-Lynn, (Lynn north shore ),Oct-21,https://boston.craigslist.org/nos/npo/d/lynn-youth-counselor-group-home-lynn/7397147887.html,"
compensation: Centerboard offers competitive salaries and benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Full-Time and Part-Time Opportunities Available- Flexible afternoon, Evening, Weekend and Overnight Shifts

Centerboard is actively recruiting for youth counselors to work at our Adolescent Co-ed Program. This is an exciting opportunity for someone who is looking for a flexible work environment and enjoys working with youth. If you are looking for a second job or to get back into the workforce, change of career or a desire to work with youth in a non- office type of environment this is the job for you. If you have an outgoing personality, good customer service skills and want to work in a flexible environment while helping others please apply to the posting via the link below. This position offers competitive pay, comprehensive benefits, paid time off, paid training to qualified candidates. Centerboard participates in the Public Service Student Loan forgiveness Program.

Essential Functions:
•	Providing transportation, oversight and support with life skills to youth ages 13-18.
•	Managing shift requirements and documentation as needed.
•	Engage with youth in activities indoors and outdoors including opportunities to make connections with family and community members.
•	Motivate and support youth with daily activities, coping and barriers to tasks.
•	Ensure safety and wellbeing to every extent possible to program participants.
•	Abide by policies and procedures as required by licensing agencies.

Experience working with youth in group activities welcomed. A valid driver's license with an acceptable driving record is required. 

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a&selectedMenuKey=CareerCenter "
71,Part Time Flexible Registered Nurse MAP Coordinator, (Lynn north shore ),Oct-21,https://boston.craigslist.org/nos/npo/d/lynn-part-time-flexible-registered/7397146072.html,"
compensation: Centerboard offers competitive pay.

employment type: contract

non-profit organization

","

QR Code Link to This Post


Centerboard is active looking for a Registered Nurse for this flexible  part time opportunity. This position will require completing training the Medication Administration Program Training provide by the State of Mass.  The position will oversee medication administration process for two residential programs. The requirements include auditing youth binders/ map documents, conducting reviews and making corrective recommendations to the program directors. This role can support coordinating psychiatric, medical services, assessment of resident’s and other medical documentation. The Program Nurse will work collaboratively with MAP trained staff to ensure health and wellness requirements of clients are met.  This will require a minimum of 15-20 hour commitment each week and is extremely flexible.

*$40 per hour contract RN who MAP Coordinator Qualified. Part Time up to 15 hours per week with a flexible schedule*

ESSENTIAL JOB FUNCTIONS*
	Collaborate with med coordinators to ensure medical, psychiatric and pharmaceutical providers regarding medication issues are resolved.
	Update and follow up on incident reports with medical concerns such as missed medications, emergency room visits, first aid or overall all medical status of a resident.
	Assist with completion of documentation such as consent to treat or ER consent forms, other intake or discharge documents, ensure updates are made accordingly.
	Follow up providers regarding positive drug testing results.
	On-Call support as needed.
	Provide ad hoc resident assessments, menu sign off, health & wellness group topics.
	Obtain/maintain required Medication Administration training/certification.
	Oversight of medication administration by ensuring the organization and maintenance of resident medication documentation and record. 
	Coordinate with Medical Coordinators:
o	Create & maintain residents Health Care Service Plans
o	Weekly meetings or MAR errors, Med Review audits
	Act as a consultant to the clinical team with coordination of community based supports that are related to psychiatric or medical health.
	Ensure the maintenance of resident medical records including annual physical, eye and dental exams.
	Consult on discharge summary, recommendations and community based support for all residents.
	Ability to work with youth or youth and families in a changing setting which may include transitional care and aftercare outreach.
•	Required to use personal vehicle, when Centerboard vehicle is not available in order to meet aftercare outreach or appointment requirement.
•	Build & maintain working relationships with all program directors, clinical staff, direct care staff and collateral agencies such as State MAP, DCF, EEC, Family Networks and the Crisis team. 

Centerboard’s mission is to revitalize our community by investing in its people and places. We support families and young people through housing, access to employment, education and financial empowerment. Visit us at www.thecenterboard.org

If you enjoy working in a flexible environment and helping others please apply to the posting via the link below.

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a&ccId=19000101_000001&jobId=409898&source=CC2&lang=en_US&selectedMenuKey=CareerCenter


COMPETENCIES AND QUALIFICATIONS
The Program RN must be a licensed and practicing RN who has experience working with adolescents, and has a broad knowledge of prescription medication, psychiatric diagnosis and assessment. The Program Nurse must maintain registered nursing certification as a condition of employment.
Required to pass initial competency evaluation as well as continued assessments of professional development and future trainings.
PREPARATION, SKILLS & TRAININGS REQUIRED
Required trainings include CPR/First Aid, MAP & RN Certification., HIPAA, OSHA, Ethics and Boundaries, Trauma Informed Care/Collaborative Problem Solving and any other related training offered by Centerboard, Inc or contract providers and affiliates deemed essential for this role, including Multi Cultural Awareness Diversity Training and ongoing supervision. All employees are required to attend refresher trainings to maintain certification compliance and to exemplify competency of skills for each of the trainings.
Required skills include the ability to prioritize tasks, communicate effectively/professionally, flexibility in a changing environment and strong organizational skills.
"
72,Part Time Flexible Registered Nurse MAP Coordinator, (Lynn boston/cambridge/brookline ),Oct-21,https://boston.craigslist.org/gbs/npo/d/lynn-part-time-flexible-registered/7397142178.html,"
compensation: Centerboard offers competitive pay, benefits and time off.

employment type: contract

non-profit organization

","

QR Code Link to This Post


Centerboard is active looking for a Registered Nurse for this flexible  part time opportunity. This position will require completing training the Medication Administration Program Training provide by the State of Mass.  The position will oversee medication administration process for two residential programs. The requirements include auditing youth binders/ map documents, conducting reviews and making corrective recommendations to the program directors. This role can support coordinating psychiatric, medical services, assessment of resident’s and other medical documentation. The Program Nurse will work collaboratively with MAP trained staff to ensure health and wellness requirements of clients are met.  This will require a minimum of 15-20 hour commitment each week and is extremely flexible.

*$40 per hour contract RN who MAP Coordinator Qualified. Part Time up to 15 hours per week with a flexible schedule*

ESSENTIAL JOB FUNCTIONS*
	Collaborate with med coordinators to ensure medical, psychiatric and pharmaceutical providers regarding medication issues are resolved.
	Update and follow up on incident reports with medical concerns such as missed medications, emergency room visits, first aid or overall all medical status of a resident.
	Assist with completion of documentation such as consent to treat or ER consent forms, other intake or discharge documents, ensure updates are made accordingly.
	Follow up providers regarding positive drug testing results.
	On-Call support as needed.
	Provide ad hoc resident assessments, menu sign off, health & wellness group topics.
	Obtain/maintain required Medication Administration training/certification.
	Oversight of medication administration by ensuring the organization and maintenance of resident medication documentation and record. 
	Coordinate with Medical Coordinators:
o	Create & maintain residents Health Care Service Plans
o	Weekly meetings or MAR errors, Med Review audits
	Act as a consultant to the clinical team with coordination of community based supports that are related to psychiatric or medical health.
	Ensure the maintenance of resident medical records including annual physical, eye and dental exams.
	Consult on discharge summary, recommendations and community based support for all residents.
	Ability to work with youth or youth and families in a changing setting which may include transitional care and aftercare outreach.
•	Required to use personal vehicle, when Centerboard vehicle is not available in order to meet aftercare outreach or appointment requirement.
•	Build & maintain working relationships with all program directors, clinical staff, direct care staff and collateral agencies such as State MAP, DCF, EEC, Family Networks and the Crisis team. 

Centerboard’s mission is to revitalize our community by investing in its people and places. We support families and young people through housing, access to employment, education and financial empowerment. Visit us at www.thecenterboard.org

If you enjoy working in a flexible environment and helping others please apply to the posting via the link below.

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a&ccId=19000101_000001&jobId=409898&source=CC2&lang=en_US&selectedMenuKey=CareerCenter


COMPETENCIES AND QUALIFICATIONS
The Program RN must be a licensed and practicing RN who has experience working with adolescents, and has a broad knowledge of prescription medication, psychiatric diagnosis and assessment. The Program Nurse must maintain registered nursing certification as a condition of employment.
Required to pass initial competency evaluation as well as continued assessments of professional development and future trainings.
PREPARATION, SKILLS & TRAININGS REQUIRED
Required trainings include CPR/First Aid, MAP & RN Certification., HIPAA, OSHA, Ethics and Boundaries, Trauma Informed Care/Collaborative Problem Solving and any other related training offered by Centerboard, Inc or contract providers and affiliates deemed essential for this role, including Multi Cultural Awareness Diversity Training and ongoing supervision. All employees are required to attend refresher trainings to maintain certification compliance and to exemplify competency of skills for each of the trainings.
Required skills include the ability to prioritize tasks, communicate effectively/professionally, flexibility in a changing environment and strong organizational skills.
"
73,Resident Services Coordinator, (Downtown Boston (free parking available) boston/cambridge/brookline ),Oct-19,https://boston.craigslist.org/gbs/npo/d/boston-resident-services-coordinator/7396427040.html,"
compensation: competitive

employment type: full-time

","

QR Code Link to This Post


Maloney Properties – Voted “Best Place to Work” by its employees for 6 years!

Our team is hard-working and motivated toward providing the best possible housing experience for our residents.  Our reputation for customer service and quality workmanship is exemplary in the industry.

About Us
Established in 1981, Maloney Properties, Inc. (MPI) is a successful women-owned business.   We manage more than 90 housing communities with more than 11,000 units throughout the New England area.   MPI has developed a unique culture and work environment that is a significant factor in our success and enables us to attract and retain the best talent and finest professionals in the industry.

We are a company with a human focus and feel passionately and genuinely that our employees are our greatest asset.  We are dedicated to teamwork, staff development and training.  Maloney Properties is an Equal Opportunity Employer.

Your Responsibilities
West End Place, a multifamily community with 183 units located in downtown Boston is seeking candidates for a full-time Resident Services Coordinator (RSC) role.  The RSC’s primary focus is to provide information on community-based resources and assist the resident population in accessing those resources.  The RSC will network, collaborate, and build partnerships with the local and extended community to bring additional services and supports to West End Place. Additionally, the RSC will serve as the community’s activities coordinator, developing and facilitating various types of programming for a range of populations and needs. The RSC will act as a liaison with the Community Relations Committee to facilitate Committee sponsored functions.

Your Qualifications
A BA, or higher in Public or Community Health, Social Work, Psychology, Gerontology, Counseling or related specialty or significant work experience relevant to the position is required.  Experience in human services/case coordination working with diverse populations is required.  Experience developing activities and programming for a range of populations (children, adults, seniors, and sub populations within those groups). Experience with cross agency networking/collaboration and building partnerships.  Strong MS Office skills are also required.

Compensation & Benefits:
MPI offers a family friendly workplace and healthy work-life balance.  In addition to a competitive salary and benefits package we also offer the following:
•	Training programs and opportunities that lead to employee advancement and promotions. 
•	A flexible work schedule and the ability in many cases to work remotely. 
•	A generous Employee Referral Program with a bonus of up to $1,000 per hire.
•	Volunteer and fundraising opportunities for annual causes such as the AIDS Walk and Stand Against Racism, just to name a few.  


Apply Now Via


https://recruit.hirebridge.com/v3/application/applink.aspx?cid=6584&jid=558280

"
74,Resident Services Coordinator, (East Boston boston/cambridge/brookline ),Oct-19,https://boston.craigslist.org/gbs/npo/d/east-boston-resident-services/7396423265.html,"
compensation: competitive

employment type: full-time

","

QR Code Link to This Post


Maloney Properties – Voted “Best Place to Work” by its employees for 6 years!


About Us
Established in 1981, Maloney Properties, Inc. (MPI) is a successful women-owned business.   We manage more than 130 housing communities with more than 13,000 units throughout the New England area.   MPI has developed a unique culture and work environment that is a significant factor in our success and enables us to attract and retain the best talent and finest professionals in the industry.

We are a company with a human focus and feel passionately and genuinely that our employees are our greatest asset.  We are dedicated to teamwork, staff development and training.  Maloney Properties is an Equal Opportunity Employer.

Your Responsibilities
Heritage Apartments, a 276 unit property in East Boston with a resident profile of elderly, family, and persons with disabilities seeks a Resident Services Coordinator. The responsibilities include developing service plans for youth and adults, organizing a consortium of providers including Social Security and Mass Health, providing crisis intervention, making referrals, recruiting volunteers, overseeing interns, communication through flyers, meetings and newsletters.  The Resident Service Coordinator will also organize and run resident events.  Responsibilities also include providing administrative support to the Property Manager. 

The goal of the Resident Services Coordinator (RSC) is to enhance the ability of residents to uphold their lease obligations, such as paying rent on time, taking proper care of the unit, and insuring quiet enjoyment of the property for all residents and surrounding neighbors.  The RSC also promotes programs and efforts that enhances a resident’s quality of life and help build healthy communities.  This position also ensures the provision of program support and/or intervention for individuals and families through the coordination of community resources.

Your Qualifications
A Bachelor’s, or higher in Social Work, Psych or counseling or comparable experience is required.  Previous resident services experience is preferred.  The ability to triage situations/cases, prioritize, and address accordingly is required.   The ideal candidate will have prior experience working with both elderly/disabled populations.  Crisis management and risk management experience is required.    Candidates must also be highly flexible, outgoing, confident and able to work as part of a team.  MS Office skills are also required. Bilingual in English/Spanish or English/Cantonese and Mandarin is a plus. 

Compensation & Benefits:
MPI offers a family friendly workplace and healthy work-life balance.  In addition to a competitive salary and benefits package we also offer training programs and opportunities that lead to employee advancement and promotions. 

Apply Now Via:
https://recruit.hirebridge.com/v3/application/applink.aspx?cid=6584&jid=554504

"
75,Direct Support Professional (DSP)-Day Hab, (Randolph south shore ),Oct-19,https://boston.craigslist.org/sob/npo/d/randolph-direct-support-professional/7396400942.html,"
compensation: $15 per hour

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Are you looking for a rewarding and creative work environment?

We are seeking to hire Direct Support Professionals looking for a fulfilling career to join us and be part of a dynamic team making a difference in the lives of people served.  At GROW Associates, Inc. we are committed to providing quality opportunities for people we serve guided by the values of respect, dignity and independence.

** $2,000 New Hire Sign- On Bonus**

Schedule: Monday – Friday 8am- 4pm

Generous Benefits Package:

Health, Dental and Vision Insurance.
4 weeks of Paid Time Off annually, 5 weeks after 2 years and 6 weeks after 5 years.
11 Paid Holidays.
Paid Birthday Day off.
$1,000 Employee Referral Bonus with no annual cap.
Employer Paid Life Insurance, Short and Long Term Disability Insurance.
403 (b) Retirement Plan.
Flexible Spending Account/Dependent Care Account.
Professional Development and Education Assistance.
Free BJ’s Wholesale Club Membership.
Free on-site parking.

Responsibilities:

Advocate and protect the rights and interests of people served.
Assist with activities of daily living (toileting, bathing, nutritional needs, etc.)
Ensure and promote ongoing health and safety.
Participate in developing and implementing support plans based on each person’s needs and goals.
Provide opportunities for learning and development of new skills.
Participate in various structured group/individual activities and offer meaningful choices to people served.
Attend all required trainings and meetings.
Perform other duties as assigned.

Qualifications:

High School Diploma or GED.
Experience working with individuals with disabilities/or willingness to learn.
Ability to work both independently and collaboratively within a culturally diverse population of individuals, co-workers, family members and community members.
Ability to read and write clear, concise and accurate daily reports and documentation.
Ability to lift up to 50 pounds as needed.
Valid driver’s license and acceptable driving record are required.
Pass criminal background check (CORI) and National Fingerprint Background Check.

For more information and to apply, please visit  https://grow-associates.org

"
76,Employment Specialist, (Randolph boston/cambridge/brookline ),Oct-19,https://boston.craigslist.org/gbs/npo/d/randolph-employment-specialist/7396399496.html,"
compensation: $16/hr

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Want to make a difference in someone’s life?

At GROW Associates, Inc. we are committed to providing quality opportunities for people we serve guided by the values of respect, dignity and independence. We provide services to adults with Intellectual/Developmental Disabilities in our programs that include day habilitation, employment training, transportation, transition services and community integration.

$2,000 Sign-On Bonus

Schedule: Mon-Fri (8:00am- 4:30pm)

Generous Benefits Package:

Health, Dental and Vision Insurance.
4 weeks of Paid Time Off annually, 5 weeks after 2 years and 6 weeks after 5 years.
11 Paid Holidays.
Paid Birthday Day off.
$1,000 Employee Referral Bonus with no annual cap.
Employer Paid Life Insurance, Short and Long Term Disability Insurance.
403 (b) Retirement Plan.
Flexible Spending Account/Dependent Care Account.
Professional Development and Education Assistance.
Free BJ’s Wholesale Club Membership.
Free on-site parking.

Responsibilities:

Assist individuals served identify employment opportunities that meet their interests and abilities.
Develop and provide in-house and community based work preparedness trainings for individuals served.
Provide 1:1 job coaching supports and maintain regular contact with various employer sites as needed and identified in individuals’ support plans.
Participate as a member of the interdisciplinary team, representing the interest and needs of the individuals served.
Coordinate with supervisor and other team members in identifying potential job sites for supported employment.
Participate in the ongoing assessment, modification, and development of career goals.
Provide safe transportation to and from program using agency vehicle to support individuals served.
Assist individuals in maintaining quality job performance, consistent with employer expectations and to resolve conflicts effectively and efficiently.
Perform other related work duties as assigned by supervisor.

Qualifications:

High School Diploma or GED.
At least two years of experience working with individuals with Intellectual/ Developmental Disabilities.
Associates/Bachelor’s degree in human services or related field preferred.
Ability to work both independently and collaboratively with a culturally diverse population of individuals, co-workers, care providers, family, community members and others.
Ability to lift 30 pounds as needed.
Ability to read and write clear, concise and accurate reports.
Valid driver’s license and acceptable driving record are required.
Current First Aid, CPR and Crisis Intervention certificates or be able to obtain these within thirty (30) days of hire.
Pass criminal background check (CORI) and National Fingerprint Background Check.


For more information and to apply,  please visit https://grow-associates.org/jobs-listing/employment-specialist/

"
77,Case Manager-CBDS/VOC, (Randolph south shore ),Oct-19,https://boston.craigslist.org/sob/npo/d/randolph-case-manager-cbds-voc/7396399184.html,"
compensation: $16 Per Hour

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Are you looking for a rewarding and creative work environment?

We are seeking to hire a Case Manager to be part of our dynamic team making a difference in the lives of people served.  At GROW, we are committed to providing quality opportunities for people we serve guided by the values of respect, dignity and independence.

** $2,000 New Hire Sign- On Bonus**

Schedule: Monday –Friday 8am-4.30pm

 Generous Benefits Package:

Health, Dental and Vision Insurance.
4 weeks of Paid Time Off annually, 5 weeks after 2 years and 6 weeks after 5 years.
11 Paid Holidays.
Paid Birthday Day off.
$1,000 Employee Referral Bonus with no annual cap.
Employer Paid Life Insurance, Short and Long Term Disability Insurance.
403 (b) Retirement Plan.
Flexible Spending Account/Dependent Care Account.
BJ’s Wholesale Club Membership.
Professional Development and Education Assistance.
Free on-site parking.

Responsibilities:

Train and assist staff to support people served work towards achieving their identified goals.
Provide case management and skills training support to people served in areas such as self-care, self-preservation, advocacy, communication, decision-making, and activities of daily living.
Audit case records for assigned caseload on a regular basis to ensure compliance with DDS and agency standards.
Participate in developing, implementing and monitoring treatment plans, completing all necessary programmatic documentation and reporting significant concerns to program management in a timely manner.
Assist with running  group activities on site and in the community as needed.
Act as an advocate for the people we serve.
Develop and maintain positive relationships with guardians, family members and other service providers.
Perform other related work duties as assigned.

Qualifications:

Bachelor’s Degree in Human Services or related field preferred.
Direct Care experience working with individuals with Intellectual/Developmental Disabilities and at least one year of case management experience.
Excellent organizational, communication, and writing skills.
Demonstrated ability to work both independently and collaboratively with a culturally diverse population of individuals, co-workers, care providers, family, community members and others.
Ability to write clear, concise and accurate documentation.
Ability to lift 30 pounds as needed.
Valid driver’s license and acceptable driving record is required.
Current First Aid, CPR and Crisis Intervention certificates or be able to obtain these within thirty (30) days of hire.
Pass criminal background check(CORI) and National Fingerprint Background Check.

For more information and to apply, please visit https://grow-associates.org/jobs-listing/case-manager-cbds-voc/
"
78,Day Services Career Fair 10/21, (Danvers north shore ),Oct-19,https://boston.craigslist.org/nos/npo/d/danvers-day-services-career-fair-10-21/7396367548.html,"
compensation: DOE

employment type: full-time

non-profit organization

","

QR Code Link to This Post


The Northeast Arc helps people with disabilities become full participants in the community; choosing for themselves how to live, learn, work, socialize and play.
One of the most innovative agencies in the state serving children and adults with disabilities, Northeast Arc was founded in the 1950's by parents with the courage and determination to ensure their children and others with disabilities will always have every opportunity to live and thrive in the community.

Join our Day Services Team during our career fair Thursday, October 21st 3pm-7pm at the Liberty Tree Mall! 
We’ll be looking for Full Time & Part Time  
•	Day Support Specialist 
•	Program Case Managers 
•	Drivers 
•	And More!! 

Candidates must be 18 years or older and have a valid drivers license. 

For position details or to apply online anytime visit https://ne-arc.applicantstack.com/x/openings
"
79,Live-In Part-Time Resident Assistant (Andover) Oct 2021-June 2022, (Andover northwest/merrimack ),Oct-19,https://boston.craigslist.org/nwb/npo/d/andover-live-in-part-time-resident/7396332029.html,"
compensation: Private Room, Board, Cable, Internet, Utilities, Off-Street Parking

employment type: part-time

non-profit organization

","

QR Code Link to This Post


A Better Chance of Andover provides academically talented young women of color an opportunity to grow, thrive and become leaders.  Our Scholars live in a dormitory setting and attend Andover High School with access to college preparatory academics, extra-curriculars and leadership programs. 

RESIDENT ASSISTANT'S core responsibilities include, but are not limited to:  
•	Living in residence with our 7-10 female Scholars at the ABC dorm (aka ABC House) late August-June.  RA's frequently reside at the dorm in July and August.
•	Participating in a rotating  supervisory schedule overseeing Sun-Thurs dinners, study hours, and weekends. (Hours vary 15-25 hours per week plus overnights). Off–duty from ABC during school hours, school vacations, summers and rotating weekends.
•	Supporting student academic progress consistent with program goals. 
•	Attending family style dinners with students. 
•	Creating a supportive home environment and a sense of community within the ABC house.
•	Overseeing students' responsibilities related to the day-to-day upkeep of the house
•	Attending August staff and student orientations, weekly meetings and several fundraising or organizational events during the academic year
•	
	Compensation: Private Room, Board (4 nights), Cable, Internet, Utilities,  Parking (no monetary compensation)

Note: Responsibilities may be modified due to pandemic related developments.  COVID vaccination required.   Volunteers interested in part-time hours without overnights will also be considered.  

Position requires a Bachelors degree, or enrollment as a full-time upper-class student, or be employed full time elsewhere. A current driver's license and auto insurance are also required.

More info about ABC of Andover at ABCAndover.org or on Facebook.com/ABCAndover
Please submit resumes and cover letters by email.    "
80,🏞️☀️Campaign Job for a 100% Renewable MA☀️🏞️, ( boston/cambridge/brookline ),Oct-19,https://boston.craigslist.org/gbs/npo/d/boston-campaign-job-for-100-renewable-ma/7396274629.html,"
compensation: $16-$18

employment type: employee's choice

non-profit organization

","

QR Code Link to This Post











"
